name,location,online_order,book_table,cuisines,rate,costof2plates,type_mode,rest_type,votes
Sunsadm,Banashankari,No,No,South Indian,3.7,400.0,Delivery,"Takeaway, Delivery",0.0
Annapooraneshwari Mess,Banashankari,No,No,South Indian,3.7,200.0,Delivery,Mess,0.0
Thancos Natural Ice Creams,Banashankari,No,No,Ice Cream,3.2,300.0,Delivery,Dessert Parlor,9.0
Nandhini Deluxe,Banashankari,No,No,North Indian,2.6,600.0,Delivery,Casual Dining,283.0
Vi Ras Bar and Restaurant,Banashankari,No,No,South Indian North Indian Chinese,3.3,800.0,Delivery,Bar,62.0
Kaggis,Banashankari,No,No,others,3.8,250.0,Delivery,Quick Bites,64.0
Ayda Persian Kitchen,Banashankari,No,No,others,3.7,950.0,Delivery,Casual Dining,39.0
Chatar Patar,Banashankari,No,No,Fast Food Street Food,3.7,300.0,Delivery,Quick Bites,65.0
Polar Bear,Basavanagudi,Yes,No,others,3.8,400.0,Delivery,Dessert Parlor,71.0
Kidambis Kitchen,Banashankari,No,No,South Indian,3.5,300.0,Delivery,Quick Bites,52.0
Mane Thindi,Banashankari,No,No,South Indian,3.7,200.0,Delivery,Quick Bites,130.0
Kotian Karavali Restaurant,Banashankari,No,No,South Indian Biryani,3.5,300.0,Delivery,Quick Bites,10.0
FlouredBaked With Love,Banashankari,No,No,Bakery,3.8,400.0,Delivery,"Takeaway, Delivery",45.0
CAFE NOVA,Banashankari,No,No,Cafe Bakery,3.2,600.0,Delivery,Cafe,11.0
Cakes Slices,Banashankari,No,No,Bakery Desserts,3.5,300.0,Delivery,Bakery,13.0
Spice 9,Banashankari,No,No,others,3.4,300.0,Delivery,Quick Bites,8.0
Coffee Shopee,Banashankari,No,No,Beverages,3.7,250.0,Delivery,"Takeaway, Delivery",0.0
Naveen Kabab Biriyani Mane,Banashankari,No,No,Biryani,3.2,300.0,Delivery,Quick Bites,9.0
Katriguppe Donne Biryani,Banashankari,No,No,North Indian,3.2,300.0,Delivery,Quick Bites,4.0
Hari Super Sandwich,Banashankari,No,No,others,3.7,200.0,Delivery,"Takeaway, Delivery",0.0
Atithi Point Ande Ka Funda,Banashankari,No,No,North Indian,3.1,150.0,Delivery,Quick Bites,29.0
Just Bake,Banashankari,No,No,Bakery Desserts,3.4,400.0,Delivery,Bakery,8.0
Dharwad Line Bazaar Mishra Pedha,Banashankari,No,No,Mithai,3.7,150.0,Delivery,Dessert Parlor,0.0
Cake Bite,Banashankari,No,No,Bakery,3.7,300.0,Delivery,Bakery,0.0
Aarushs Food Plaza,Banashankari,No,No,North Indian Street Food,3.7,200.0,Delivery,Quick Bites,0.0
Wood Stove,Banashankari,No,No,South Indian,3.7,150.0,Delivery,"Takeaway, Delivery",0.0
Kulfi More,Banashankari,No,No,others,3.7,150.0,Delivery,Dessert Parlor,0.0
Kannadigas Karavali,Banashankari,No,No,others,3.7,250.0,Delivery,Quick Bites,0.0
K27 The Pub,Banashankari,No,No,Chinese North Indian,3.1,1000.0,Delivery,Bar,30.0
Bengaluru Coffee House,Banashankari,Yes,No,South Indian North Indian Chinese Street Food,4.1,300.0,Delivery,Quick Bites,201.0
New Mangalore Lunch Home,Banashankari,No,No,others,3.3,200.0,Delivery,Quick Bites,7.0
Coffee Bytes,Banashankari,No,No,others,3.1,100.0,Delivery,Quick Bites,6.0
Parjanya Chat Zone,Banashankari,No,No,Street Food Fast Food,3.3,200.0,Delivery,Quick Bites,17.0
Kwality Walls Swirls Happiness Station,Banashankari,No,No,Ice Cream Desserts,2.9,200.0,Delivery,Dessert Parlor,25.0
Soms Kitchen Bakes,Banashankari,No,No,others,3.7,400.0,Delivery,Delivery,0.0
Banashankari Nati Style,Banashankari,No,No,others,3.7,350.0,Delivery,Quick Bites,0.0
