name,location,online_order,book_table,cuisines,rate,costof2plates,type_mode,rest_type,votes
Fine Food Restaurant,Hennur,Yes,No,North Indian Chinese Fast Food,3.4,500.0,Delivery,Quick Bites,26.0
The Fiery Indian Kitchen,Nagawara,Yes,No,North Indian,3.5,600.0,Delivery,Casual Dining,49.0
Food Time Now,others,Yes,No,North Indian Mughlai Biryani,3.1,500.0,Delivery,"Takeaway, Delivery",10.0
Meghana Biriyanis,Nagawara,Yes,No,others,3.9,400.0,Delivery,Quick Bites,375.0
Countryside The Taste of Chettinad,Kalyan Nagar,Yes,Yes,others,3.9,900.0,Delivery,Casual Dining,293.0
Hungry Vihaari,Kalyan Nagar,Yes,Yes,others,3.9,800.0,Delivery,Casual Dining,36.0
Buntys Belly,Kalyan Nagar,No,No,others,3.7,300.0,Delivery,Cafe,0.0
Masale Daan,Kammanahalli,Yes,No,North Indian,3.7,350.0,Delivery,Delivery,0.0
Regency Park,Kammanahalli,Yes,No,others,3.6,700.0,Delivery,Casual Dining,147.0
Kobe Sizzlers,Nagawara,Yes,No,others,4.0,1500.0,Delivery,Casual Dining,398.0
Curries Chillies,Kalyan Nagar,Yes,No,Andhra,3.1,400.0,Delivery,Quick Bites,13.0
UBQ By Barbeque Nation,Kalyan Nagar,Yes,No,others,3.1,450.0,Delivery,Delivery,14.0
Spice Room,Kalyan Nagar,Yes,No,Andhra,3.7,400.0,Delivery,Quick Bites,0.0
Oye Hoye,Kalyan Nagar,Yes,No,North Indian,3.8,300.0,Delivery,Quick Bites,69.0
Coffee Mechanics,HBR Layout,Yes,No,others,4.3,700.0,Delivery,Cafe,191.0
Baskin Robbins,Nagawara,Yes,No,Ice Cream Desserts,3.7,250.0,Delivery,Food Court,35.0
Juice Fresco,HBR Layout,Yes,No,others,3.7,200.0,Delivery,Beverage Shop,0.0
Ambujams Chettinad Mess,Banaswadi,Yes,No,others,3.5,400.0,Delivery,others,20.0
Fish Chain,Kammanahalli,Yes,No,others,3.5,300.0,Delivery,Quick Bites,12.0
Andhra Biryanis,Nagawara,Yes,No,others,4.0,550.0,Delivery,Casual Dining,469.0
Just Shawarma,Kammanahalli,Yes,No,Arabian,3.7,300.0,Delivery,Quick Bites,118.0
Srinathjis,Banaswadi,Yes,No,others,3.6,550.0,Delivery,"Casual Dining, Cafe",62.0
Bhagini,Banaswadi,Yes,No,others,2.3,800.0,Delivery,Casual Dining,119.0
Chinnus Mane Biryani,Banaswadi,Yes,No,Biryani,3.5,300.0,Delivery,Quick Bites,10.0
KGN Kabbab Corner,Kalyan Nagar,No,No,others,4.0,500.0,Delivery,Quick Bites,83.0
Desi Grill,others,Yes,No,Chinese North Indian,3.0,400.0,Delivery,Quick Bites,60.0
Zyara,HBR Layout,Yes,No,North Indian Mughlai Chinese,3.9,650.0,Delivery,Casual Dining,191.0
Aroma Spice,Kalyan Nagar,Yes,Yes,others,3.7,800.0,Delivery,Casual Dining,83.0
Le Spice Restaurant,Banaswadi,Yes,No,others,3.4,700.0,Delivery,Casual Dining,122.0
Kadai Restaurant,Hennur,Yes,No,North Indian Mughlai Chinese,2.9,350.0,Delivery,Quick Bites,27.0
Pathaan Sir,Kammanahalli,Yes,No,others,3.3,300.0,Delivery,Quick Bites,58.0
Hyderabad Biryaani Palace,Kammanahalli,Yes,No,others,3.7,750.0,Delivery,Casual Dining,301.0
Kesar Sweet Shop And Fast Food,Kalyan Nagar,No,No,others,3.9,500.0,Delivery,Quick Bites,47.0
Delicacy,Kalyan Nagar,Yes,Yes,Chinese Thai Momos,4.1,500.0,Delivery,Casual Dining,448.0
Jambudweepa Juice Bar,Banaswadi,Yes,No,others,3.8,150.0,Delivery,Beverage Shop,24.0
Kettle Kegs,Kammanahalli,Yes,No,others,2.9,200.0,Delivery,Delivery,9.0
Pizza Bakers,Nagawara,Yes,No,others,3.3,450.0,Delivery,Quick Bites,17.0
Sri Banashankari Donne Biriyani,Banaswadi,Yes,No,Biryani,3.8,150.0,Delivery,Quick Bites,74.0
Ahaan Restaurant,RT Nagar,Yes,No,North Indian Chinese,2.8,300.0,Delivery,Delivery,77.0
Sri Durga Nellore Mess,Banaswadi,Yes,No,others,3.3,350.0,Delivery,Mess,351.0
Mystery House,Banaswadi,Yes,No,Fast Food,3.4,300.0,Delivery,Quick Bites,6.0
Serranos Mexican Grill,Nagawara,Yes,No,others,3.7,400.0,Delivery,Quick Bites,86.0
Global Flavors,Banaswadi,Yes,Yes,others,3.5,1000.0,Delivery,Casual Dining,131.0
Kitchen King,Nagawara,Yes,No,others,3.8,400.0,Delivery,Quick Bites,306.0
New Kadai,Kalyan Nagar,Yes,No,North Indian Chinese,3.4,550.0,Delivery,Casual Dining,23.0
Onesta,Kammanahalli,Yes,Yes,Pizza Cafe Italian,4.4,600.0,Delivery,"Casual Dining, Cafe",2589.0
Biriyani House,Nagawara,Yes,No,others,3.7,600.0,Delivery,Casual Dining,600.0
Rangas Paradise,Banaswadi,Yes,No,South Indian,3.3,150.0,Delivery,Quick Bites,38.0
Cookie Man,Banaswadi,Yes,No,Bakery,3.7,150.0,Delivery,Bakery,0.0
MMA Kabab Rolls Biriyani Center,Banaswadi,Yes,No,others,3.6,400.0,Delivery,Quick Bites,92.0
Hotel Kakatiya,Nagawara,Yes,No,others,3.7,350.0,Delivery,Quick Bites,49.0
Talk of the Town,Banaswadi,Yes,No,Bakery Desserts,3.7,250.0,Delivery,Bakery,0.0
Mommas Pastries Fine Bakery And Cafe,Banaswadi,Yes,No,others,3.4,500.0,Delivery,Bakery,10.0
2 Statez,Kalyan Nagar,Yes,No,others,3.7,600.0,Delivery,Casual Dining,209.0
Hongkong Noodles,Kalyan Nagar,Yes,No,Chinese,3.8,750.0,Delivery,Casual Dining,80.0
DZaprino,Nagawara,Yes,No,others,3.7,350.0,Delivery,"Takeaway, Delivery",0.0
Cafezone,Banaswadi,Yes,No,Burger Fast Food Beverages,3.7,250.0,Delivery,Quick Bites,27.0
Fella Juice Bar,Hennur,Yes,No,others,3.7,150.0,Delivery,Beverage Shop,0.0
Curries Chillies,Banaswadi,Yes,No,others,3.3,300.0,Delivery,"Takeaway, Delivery",19.0
Chaat Street,Kalyan Nagar,Yes,No,others,4.1,250.0,Delivery,Quick Bites,498.0
29 Degrees North,Banaswadi,Yes,No,others,3.9,250.0,Delivery,Quick Bites,283.0
Sandesh Restaurant,Hennur,Yes,No,others,3.7,350.0,Delivery,Quick Bites,0.0
Dr Harrys Chick Blast,others,Yes,No,Continental,3.5,500.0,Delivery,Quick Bites,26.0
The Pipe Rack,Kalyan Nagar,No,No,Cafe,3.9,700.0,Delivery,Casual Dining,35.0
Smoke The Sizzler House,Nagawara,Yes,No,others,2.8,800.0,Delivery,Food Court,100.0
Jai Mataji Farshan Sweets,Banaswadi,Yes,No,Mithai Street Food,3.8,150.0,Delivery,"Sweet Shop, Quick Bites",48.0
Aromas Hyderabad House,Nagawara,Yes,No,others,4.2,800.0,Delivery,Casual Dining,533.0
American Desserts,Banaswadi,Yes,No,Desserts Bakery,3.6,500.0,Delivery,"Takeaway, Delivery",23.0
Sufi Restaurant Cafe,Banaswadi,Yes,No,others,3.7,800.0,Delivery,Casual Dining,105.0
Shawarma King Restaurant,Kammanahalli,Yes,No,others,3.4,500.0,Delivery,Quick Bites,39.0
Chickpet Donne Biryani House,Kammanahalli,Yes,No,Biryani,3.8,250.0,Delivery,Quick Bites,185.0
Dhadoom,Kalyan Nagar,Yes,No,Fast Food,3.8,400.0,Delivery,Quick Bites,22.0
Hatti Kaapi,Nagawara,Yes,No,others,3.6,200.0,Delivery,Quick Bites,33.0
Mainland China,Kalyan Nagar,Yes,Yes,Chinese Momos,4.5,1100.0,Delivery,Casual Dining,1013.0
Thut Cafe,Banaswadi,Yes,No,others,3.6,300.0,Delivery,Quick Bites,21.0
Natural Ice Cream,Kalyan Nagar,No,No,others,4.3,200.0,Delivery,Dessert Parlor,259.0
Kolkata Famous Kati Rolls,Hennur,Yes,No,Fast Food Rolls,3.8,100.0,Delivery,Kiosk,53.0
Altafs Chillies Restaurant,Frazer Town,Yes,No,North Indian Chinese,3.8,500.0,Delivery,Casual Dining,232.0
Khyma Biryani,Kalyan Nagar,Yes,No,Biryani,3.9,600.0,Delivery,Casual Dining,240.0
Lakeview Milkbar,Kalyan Nagar,No,No,others,3.7,500.0,Delivery,"Dessert Parlor, Cafe",0.0
Kolkata Rolls Chowmein,Banaswadi,Yes,No,others,3.5,100.0,Delivery,Quick Bites,35.0
Siri Jai Bhavani Mess,Nagawara,Yes,No,others,3.7,400.0,Delivery,Mess,0.0
Chung Wah,Banaswadi,Yes,No,others,3.3,900.0,Delivery,Casual Dining,145.0
Sri Ruchi Restuarant,Banaswadi,Yes,No,others,3.7,450.0,Delivery,Casual Dining,71.0
Olive Garden,Kalyan Nagar,Yes,No,others,3.7,700.0,Delivery,Casual Dining,214.0
Spice Corner,Nagawara,Yes,Yes,North Indian Chinese Biryani,3.5,800.0,Delivery,Casual Dining,16.0
Manis Dum Biryani,Kalyan Nagar,Yes,No,Biryani Kebab,3.5,750.0,Delivery,Casual Dining,119.0
Chichabas Taj,Kalyan Nagar,Yes,No,others,3.8,600.0,Delivery,Casual Dining,289.0
Tamarind,others,Yes,No,others,2.7,750.0,Delivery,Casual Dining,227.0
Chungs Chinese Corner,Kalyan Nagar,Yes,No,Chinese,2.8,700.0,Delivery,Casual Dining,234.0
Sreeraj Lassi Bar,Kammanahalli,Yes,No,others,4.0,150.0,Delivery,others,120.0
Rahhams,Kammanahalli,Yes,No,others,3.5,700.0,Delivery,Casual Dining,312.0
Spice Kitchen,Kalyan Nagar,Yes,Yes,others,3.9,750.0,Delivery,Casual Dining,321.0
Patio The Resto Cafe,Banaswadi,Yes,No,others,3.7,500.0,Delivery,"Cafe, Quick Bites",73.0
The Juice Shop Juicery And Kitchen,Kalyan Nagar,Yes,No,others,3.9,300.0,Delivery,Quick Bites,39.0
Sri Sai 99 Variety Dosa,Nagawara,Yes,No,South Indian,3.7,200.0,Delivery,Quick Bites,27.0
Roll Over,Kalyan Nagar,Yes,No,others,4.1,500.0,Delivery,Dessert Parlor,174.0
SV Indian Restaurant,Hennur,Yes,No,North Indian Chinese,3.5,400.0,Delivery,Quick Bites,13.0
Zamorins Mappillah Biryani,Hennur,No,No,Biryani,3.7,400.0,Delivery,"Takeaway, Delivery",0.0
Brewklyn Microbrewery,Kalyan Nagar,Yes,Yes,others,4.4,1400.0,Delivery,"Microbrewery, Casual Dining",2329.0
Teburu,Kalyan Nagar,Yes,No,others,4.4,800.0,Delivery,Casual Dining,203.0
Based On A True Story Bistro,Kammanahalli,Yes,Yes,others,4.3,800.0,Delivery,"Cafe, Quick Bites",496.0
Aqni,HBR Layout,Yes,No,others,3.9,650.0,Delivery,Casual Dining,358.0
The Coorg Food Co,Kalyan Nagar,Yes,Yes,South Indian,4.3,750.0,Delivery,Casual Dining,473.0
OKI,Kammanahalli,Yes,Yes,others,4.5,1200.0,Delivery,Casual Dining,418.0
Sultans Biryani,Kalyan Nagar,Yes,No,Biryani North Indian,2.9,700.0,Delivery,Delivery,38.0
Mahadiis,Kammanahalli,Yes,No,Andhra North Indian Chinese,3.9,600.0,Delivery,Casual Dining,219.0
Float Brewery,Kalyan Nagar,No,Yes,others,4.3,1800.0,Delivery,"Microbrewery, Casual Dining",416.0
Swagatham Delux Rayalaseema Spices,Nagawara,Yes,No,others,3.4,600.0,Delivery,Casual Dining,24.0
Awesome Biryani,Kalyan Nagar,No,No,others,3.7,500.0,Delivery,"Takeaway, Delivery",0.0
Coorg Lunch Home,Kammanahalli,Yes,No,South Indian,3.6,300.0,Delivery,Quick Bites,57.0
Thalassery Plaza,Hennur,Yes,No,others,3.6,400.0,Delivery,Quick Bites,30.0
Naina Nand Food Express,HBR Layout,Yes,No,North Indian Chinese,3.3,300.0,Delivery,Quick Bites,8.0
Special Hot Roll No1,Banaswadi,Yes,No,others,3.7,100.0,Delivery,Delivery,0.0
Noodles,Banaswadi,Yes,No,Chinese Momos,3.8,500.0,Delivery,Casual Dining,98.0
Huko Mukho Hangla,Kammanahalli,Yes,No,others,4.0,400.0,Delivery,Quick Bites,175.0
7 Plates,Kalyan Nagar,Yes,No,others,3.6,600.0,Delivery,Casual Dining,519.0
Kanthari,Kalyan Nagar,Yes,No,others,3.9,400.0,Delivery,Quick Bites,93.0
Draggers Caf,Kalyan Nagar,Yes,No,others,4.1,900.0,Delivery,Cafe,274.0
Donne Biriyani Mane,Kalyan Nagar,Yes,No,Biryani Kebab,3.7,400.0,Delivery,Quick Bites,220.0
The Feast Fries,Kalyan Nagar,Yes,No,Fast Food,3.7,200.0,Delivery,Quick Bites,0.0
Madurai Canteen,Nagawara,Yes,No,others,2.9,200.0,Delivery,Quick Bites,38.0
Saffron Vegetarian Cuisine,Banaswadi,Yes,Yes,others,4.0,700.0,Delivery,Casual Dining,667.0
Cafe P Square,Kalyan Nagar,Yes,No,others,3.8,250.0,Delivery,Quick Bites,26.0
China Pearl,Kalyan Nagar,Yes,No,Chinese Momos,4.1,1100.0,Delivery,Casual Dining,155.0
Indie Fusion Multi Cuisine Restaurant,Kalyan Nagar,No,No,others,3.3,400.0,Delivery,Quick Bites,4.0
Jingo BBQ Burgers,Kammanahalli,Yes,No,others,3.9,550.0,Delivery,Quick Bites,41.0
Manasa Fishland,Kalyan Nagar,Yes,No,others,4.1,650.0,Delivery,Casual Dining,201.0
Cafe Thulp,Kammanahalli,Yes,No,others,4.0,1000.0,Delivery,Cafe,722.0
Little Italy,Kalyan Nagar,Yes,Yes,others,4.2,1500.0,Delivery,Casual Dining,405.0
Wokanaka The Casual Chinese Pitstop,Kalyan Nagar,Yes,Yes,others,4.1,500.0,Delivery,Casual Dining,223.0
Maraheb Restaurant,Kalyan Nagar,Yes,No,Arabian,4.2,1000.0,Delivery,Casual Dining,219.0
Beijing Bites,Kalyan Nagar,Yes,No,Chinese Thai,3.7,850.0,Delivery,Casual Dining,0.0
Paradox RestOCafe,Kalyan Nagar,Yes,No,others,3.7,600.0,Delivery,Casual Dining,124.0
Cuppa Joy,Kalyan Nagar,Yes,No,Cafe Continental,3.7,500.0,Delivery,Cafe,0.0
4 Seasons Restaurant,Kalyan Nagar,Yes,Yes,others,3.7,1000.0,Delivery,Casual Dining,399.0
New Peking,Kammanahalli,Yes,No,others,4.1,700.0,Delivery,Casual Dining,383.0
Kennys Restaurant,Banaswadi,Yes,No,Chinese,3.4,450.0,Delivery,Quick Bites,38.0
Supreme Biryani,Kalyan Nagar,Yes,No,Biryani,3.7,400.0,Delivery,Delivery,0.0
Anand Sweets and Savouries,Kammanahalli,Yes,No,Mithai Street Food,4.0,400.0,Delivery,Quick Bites,99.0
Yuan Restaurant,HBR Layout,Yes,No,Chinese Momos,3.8,600.0,Delivery,Casual Dining,202.0
The ThickShake Factory,Kalyan Nagar,No,No,others,4.1,350.0,Delivery,Beverage Shop,107.0
The French Corner,Kalyan Nagar,No,No,others,3.4,400.0,Delivery,"Bakery, Dessert Parlor",10.0
Punjab Bistro,Nagawara,Yes,No,North Indian,4.0,500.0,Delivery,Casual Dining,165.0
Hotel The Shack,others,Yes,No,North Indian Biryani,3.9,1000.0,Delivery,Casual Dining,116.0
Night Food Joint,Nagawara,Yes,No,North Indian Chinese,2.9,500.0,Delivery,Quick Bites,619.0
Art of Biryani Curries,others,Yes,No,Biryani,3.4,250.0,Delivery,Delivery,9.0
Vera Italiano,Kalyan Nagar,Yes,No,others,4.1,600.0,Delivery,Casual Dining,198.0
Brew Bakes Cafe,Kalyan Nagar,Yes,No,Cafe,3.7,500.0,Delivery,Cafe,46.0
Punjabi Tadka,Nagawara,Yes,No,North Indian Chinese,3.4,400.0,Delivery,Quick Bites,31.0
Rasapoorna,Nagawara,Yes,No,others,3.2,500.0,Delivery,Casual Dining,6.0
Chulha Chauki Da Dhaba,Kalyan Nagar,Yes,No,North Indian,4.1,800.0,Delivery,Casual Dining,1208.0
Aioli,Kalyan Nagar,No,Yes,others,4.2,1400.0,Delivery,Casual Dining,783.0
RawStraw,Kalyan Nagar,Yes,No,others,4.1,700.0,Delivery,Cafe,172.0
The Urban Roof,Kalyan Nagar,Yes,No,others,3.9,800.0,Delivery,Casual Dining,77.0
Kiko,Kammanahalli,Yes,No,others,3.4,500.0,Delivery,"Takeaway, Delivery",10.0
Yi Moi Chinese Fast Food,Kalyan Nagar,No,No,Chinese,3.7,100.0,Delivery,Quick Bites,0.0
Udupi Gardenia,Banaswadi,Yes,No,South Indian,3.4,400.0,Delivery,Quick Bites,19.0
Kolkata Famous Kati Roll,Nagawara,Yes,No,Fast Food Rolls,3.7,150.0,Delivery,Quick Bites,0.0
S L V Food Joint,Kalyan Nagar,Yes,No,others,3.4,250.0,Delivery,Quick Bites,14.0
Biriyani Nights,Kammanahalli,Yes,No,others,3.0,500.0,Delivery,"Takeaway, Delivery",119.0
Sherlocks Pub,Kalyan Nagar,Yes,Yes,others,3.8,1300.0,Delivery,"Pub, Casual Dining",360.0
Snowora,Kalyan Nagar,Yes,No,others,3.7,350.0,Delivery,Dessert Parlor,0.0
Cake House Story Cafe,Kalyan Nagar,No,No,Bakery Desserts,3.9,650.0,Delivery,Quick Bites,78.0
XO Cafe,Banaswadi,Yes,No,Cafe,3.7,300.0,Delivery,Cafe,0.0
Khan Saheb Grills and Rolls,Kalyan Nagar,Yes,No,Fast Food Rolls,3.1,350.0,Delivery,"Takeaway, Delivery",34.0
Venkys Xprs,Kalyan Nagar,No,No,others,3.7,350.0,Delivery,others,35.0
Nawabi,Kammanahalli,Yes,No,North Indian Biryani,3.7,450.0,Delivery,"Takeaway, Delivery",0.0
Marakachi,Kalyan Nagar,Yes,No,others,3.7,600.0,Delivery,Casual Dining,83.0
Eat Well,Banaswadi,Yes,No,North Indian,3.6,400.0,Delivery,"Takeaway, Delivery",113.0
FireHouse Bar Kitchen,HBR Layout,Yes,Yes,others,3.9,1500.0,Delivery,Pub,751.0
Samprith Gowdru Mudde Hotel,others,Yes,No,South Indian,3.5,300.0,Delivery,Quick Bites,16.0
Shanghai Times,HBR Layout,Yes,No,Chinese,3.5,500.0,Delivery,Quick Bites,9.0
Foodies Affair,Nagawara,Yes,No,North Indian Chinese,3.5,400.0,Delivery,Quick Bites,22.0
7th Heaven,Kalyan Nagar,No,No,others,3.7,400.0,Delivery,"Bakery, Dessert Parlor",0.0
Tandoor Bhatti,others,Yes,No,North Indian Fast Food,3.7,300.0,Delivery,Quick Bites,0.0
A Bakers Confession,Kalyan Nagar,No,No,Bakery,3.7,400.0,Delivery,Bakery,0.0
Cafe 7,Kalyan Nagar,Yes,No,Street Food,3.7,100.0,Delivery,Quick Bites,0.0
Juice Day,Kalyan Nagar,No,No,others,3.7,150.0,Delivery,"Beverage Shop, Quick Bites",0.0
Sanjus Super Kitchen,Kammanahalli,Yes,No,others,3.3,400.0,Delivery,Delivery,5.0
DinePost9,Banaswadi,Yes,No,others,3.9,450.0,Delivery,Delivery,367.0
Delicious Momos,Kalyan Nagar,No,No,others,3.9,200.0,Delivery,Kiosk,48.0
Chocolate Philosophy,Kalyan Nagar,No,No,Desserts,3.7,500.0,Delivery,Dessert Parlor,0.0
La Mirch,Kalyan Nagar,No,No,others,3.7,400.0,Delivery,"Takeaway, Delivery",0.0
Cake Dilim,Kalyan Nagar,No,No,Bakery Desserts,3.7,400.0,Delivery,Bakery,0.0
Lechem,Kalyan Nagar,No,No,North Indian,3.7,600.0,Delivery,Delivery,0.0
Mr Fruit Mixer,Kalyan Nagar,No,No,others,3.7,100.0,Delivery,Quick Bites,0.0
Oyo Empire Juice Shop,Kalyan Nagar,No,No,others,3.7,100.0,Delivery,Beverage Shop,0.0
Mr Chaiwala,Kalyan Nagar,No,No,North Indian,3.7,100.0,Delivery,Quick Bites,0.0
My China,Kalyan Nagar,No,No,others,3.0,600.0,Delivery,Casual Dining,14.0
Reddys Naati Mane,Banaswadi,Yes,No,others,3.4,400.0,Delivery,Quick Bites,15.0
Wok N Roll,Nagawara,Yes,No,Chinese Momos,3.9,400.0,Delivery,Quick Bites,82.0
Bangalore Vibes,Hennur,Yes,No,North Indian Chinese,3.2,300.0,Delivery,Quick Bites,4.0
Snack shop,Kalyan Nagar,No,No,others,3.7,250.0,Delivery,nan,0.0
Cakes Crumbs Magic,Kalyan Nagar,No,No,Bakery,3.3,300.0,Delivery,Bakery,4.0
The Flavours,Kalyan Nagar,No,No,others,3.2,500.0,Delivery,Casual Dining,7.0
Biryani Treats,Kalyan Nagar,No,No,Biryani,2.6,650.0,Delivery,Delivery,45.0
New Udupi Grand,Kalyan Nagar,No,No,North Indian South Indian Chinese,3.7,300.0,Delivery,Quick Bites,0.0
Chai Kada,Kalyan Nagar,No,No,Beverages Fast Food,3.6,100.0,Delivery,"Beverage Shop, Quick Bites",10.0
Paper Cup Cafe,Kalyan Nagar,No,No,others,3.5,400.0,Delivery,Quick Bites,11.0
OvenTreats PatisserieBistro,Kalyan Nagar,No,No,others,4.0,1000.0,Delivery,Casual Dining,81.0
CoffeeArens,Banaswadi,Yes,No,Cafe Fast Food,3.8,550.0,Delivery,Cafe,77.0
The Chefs Kitchen,Kalyan Nagar,Yes,No,Continental North Indian Chinese,3.8,800.0,Delivery,Casual Dining,311.0
Parantha Singh,Kalyan Nagar,No,No,North Indian,3.7,300.0,Delivery,Quick Bites,31.0
Crunchees Cafeteria,Kalyan Nagar,No,No,Fast Food,3.4,400.0,Delivery,Quick Bites,11.0
Hotel Dharshan,Kalyan Nagar,No,No,South Indian,3.7,150.0,Delivery,Quick Bites,0.0
Food Forest,Kalyan Nagar,No,No,North Indian,3.7,300.0,Delivery,Quick Bites,0.0
Samosa Singh,Kalyan Nagar,No,No,others,3.7,250.0,Delivery,Quick Bites,0.0
F Juice,Kalyan Nagar,No,No,others,3.7,200.0,Delivery,Beverage Shop,0.0
Firki Cafe,Kalyan Nagar,No,Yes,North Indian,3.7,850.0,Delivery,Casual Dining,0.0
Nalukettu,HBR Layout,Yes,No,Kerala,3.5,450.0,Delivery,Delivery,4.0
Urban Kitchen,Banaswadi,Yes,No,others,3.4,400.0,Delivery,Delivery,6.0
Kabsa House,Kalyan Nagar,No,No,North Indian,3.6,500.0,Delivery,Casual Dining,24.0
Cafe China,Banaswadi,Yes,No,Chinese,3.7,500.0,Delivery,Quick Bites,42.0
Alibaba Cafe and Restaurant,Kalyan Nagar,No,No,others,2.9,700.0,Delivery,Casual Dining,56.0
Chaatimes,Nagawara,Yes,No,Street Food Fast Food,3.6,200.0,Delivery,Quick Bites,27.0
De3 The Eatery,others,No,No,Fast Food,3.1,250.0,Delivery,others,13.0
Eat Social,Kalyan Nagar,No,No,others,3.7,300.0,Delivery,"Takeaway, Delivery",0.0
Jwala Indian Chinese Fast Food,Kalyan Nagar,No,No,North Indian,3.7,200.0,Delivery,Quick Bites,0.0
AL Afreens Biryani Paradise,Kalyan Nagar,No,No,others,3.7,200.0,Delivery,Quick Bites,0.0
Halli Mane Hotel,Kalyan Nagar,No,No,South Indian,3.7,300.0,Delivery,Quick Bites,0.0
Kolkata Hot Roll,Kalyan Nagar,No,No,others,3.7,100.0,Delivery,Kiosk,0.0
Al Karim,Kalyan Nagar,No,No,others,3.7,600.0,Delivery,Casual Dining,90.0
The Second Wife,Hennur,Yes,No,others,3.7,800.0,Delivery,Casual Dining,68.0
Silver Spoon Restaurant,Hennur,Yes,No,North Indian Chinese Continental,3.2,400.0,Delivery,Quick Bites,55.0
Sri Banasankri Donne Biriyani,Kalyan Nagar,No,No,Biryani,3.4,400.0,Delivery,Quick Bites,6.0
Al Madhina Roll House,Kalyan Nagar,No,No,North Indian Chinese,3.4,350.0,Delivery,Quick Bites,6.0
Meat Up Barbecue More,Kalyan Nagar,No,No,others,3.7,400.0,Delivery,Quick Bites,17.0
Sweet Chariot,Kalyan Nagar,No,No,Bakery Fast Food,2.8,500.0,Delivery,Dessert Parlor,60.0
Lennys Kitchen,Banaswadi,Yes,No,others,3.7,300.0,Delivery,Quick Bites,0.0
Food Box,Kammanahalli,Yes,No,Fast Food Beverages,3.6,350.0,Delivery,Quick Bites,22.0
Skanda Cafe,Hennur,No,No,South Indian Chinese North Indian,3.5,400.0,Delivery,Quick Bites,15.0
Gundappa Donne Biryani Mane,Nagawara,Yes,No,Biryani,3.4,300.0,Delivery,Quick Bites,55.0
Happy Eats,HBR Layout,Yes,No,North Indian Continental,3.7,300.0,Delivery,Delivery,0.0
Didis Kitchen,Nagawara,Yes,No,North Indian Chinese Fast Food,3.1,400.0,Delivery,Delivery,8.0
Maddys Cafe,Kammanahalli,Yes,No,Cafe Continental,3.8,500.0,Delivery,Cafe,36.0
New York Burrito,Banaswadi,No,No,others,3.1,400.0,Delivery,Quick Bites,7.0
Rasa Cafe,Kalyan Nagar,Yes,No,others,3.4,600.0,Delivery,Cafe,6.0
The Grill House,Kalyan Nagar,Yes,Yes,others,4.0,1000.0,Delivery,Casual Dining,178.0
Moms Flavor,Banaswadi,Yes,No,others,3.7,200.0,Delivery,Quick Bites,0.0
Cafe Get Hooked,Banaswadi,Yes,No,Cafe,3.6,600.0,Delivery,Cafe,17.0
Kolkata Famous Kati Rolls,Banaswadi,Yes,No,Fast Food Rolls,3.1,200.0,Delivery,Kiosk,4.0
AutoExpress Hot Dogs,Kalyan Nagar,Yes,No,Fast Food,3.7,300.0,Delivery,"Takeaway, Delivery",0.0
Eatapita,Kammanahalli,Yes,No,others,4.0,600.0,Delivery,Quick Bites,129.0
Le Roll Cafe,Kammanahalli,Yes,No,others,3.9,300.0,Delivery,Quick Bites,52.0
SS Bucket Biryani,Kammanahalli,No,No,Biryani North Indian Chinese,4.0,600.0,Delivery,Casual Dining,161.0
Nandhana Palace,Kammanahalli,No,Yes,Andhra Biryani North Indian Chinese,4.1,800.0,Delivery,"Casual Dining, Bar",737.0
Raidan Restaurant,Kammanahalli,No,No,others,3.9,450.0,Delivery,Casual Dining,247.0
Angaar Indian Grill Restaurant,HBR Layout,No,No,others,3.9,600.0,Delivery,Casual Dining,121.0
Sanjus Super Kitchen,Kammanahalli,No,No,others,3.5,400.0,Delivery,Quick Bites,10.0
Delicious Momos,Kammanahalli,No,No,Chinese Momos,4.1,450.0,Delivery,Casual Dining,109.0
Donne Biriyani Mane,Banaswadi,No,No,Biryani,3.8,300.0,Delivery,Quick Bites,161.0
Wolga Restaurant,Banaswadi,No,No,North Indian Chinese Biryani,3.4,600.0,Delivery,Casual Dining,6.0
Al Amal Cafe,Kammanahalli,No,No,Cafe Fast Food,4.0,300.0,Delivery,"Cafe, Quick Bites",74.0
Fatty Chang,HBR Layout,Yes,No,Chinese,3.2,300.0,Delivery,Quick Bites,4.0
Whistling Tandoor,Banaswadi,No,No,others,3.1,600.0,Delivery,Casual Dining,22.0
Healthy Hawker,Banaswadi,No,No,others,3.7,300.0,Delivery,"Takeaway, Delivery",0.0
Pretty Baked,Hennur,No,No,Bakery Desserts,3.7,300.0,Delivery,"Takeaway, Delivery",0.0
Lunchwala,Hennur,No,No,others,3.7,400.0,Delivery,Delivery,0.0
Bong Memory,Hennur,No,No,Bengali,3.7,200.0,Delivery,"Takeaway, Delivery",0.0
Joyfulmealcom,HBR Layout,No,No,North Indian Biryani,3.7,300.0,Delivery,Quick Bites,0.0
Anas Midnight Cafe,Banaswadi,No,No,others,3.7,500.0,Delivery,nan,0.0
Sri Sai Grand,Banaswadi,No,No,Biryani North Indian,3.6,400.0,Delivery,Casual Dining,73.0
SHAIKs DYNASTY,Kammanahalli,No,No,North Indian Chinese,3.2,450.0,Delivery,Casual Dining,6.0
Khandesh,Kammanahalli,No,No,others,3.7,450.0,Delivery,"Takeaway, Delivery",0.0
